1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1.
2,2,2,-2,-2,-2.
3,3,3,-3,-3,-3.
8,8,-8,-8.
10,-10.
12,-12.
19,-19.
24,-24.
29,29,-29,-29.
100,-100.
231,-231.
234,-234.
250,-250.
345,-345.
909,-909.
2131,-2131.
2312,-2312.
2324,-2324.
3454,-3454.
5613,-5613.
6898,-6898.
12334,-12334.
13213,-13213.
21321,-21321.
23123,-23123.
23124,-23124.
23134,-23134.
23141,-23141.
31231,-31231.
32424,-32424.
32432,-32432.
34232,-34232.
214213,-214213.
231231,-231231.
231324,-231324.
324312,-324312.
324334,-324334.
908700,-908700.
987987,-987987.
2312421,-2312421.
12231213,-12231213.
21313213,21313213,21313213,21313213,21313213,21313213,21313213,21313213,21313213,21313213,21313213,21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213,-21313213.
21323421,-21323421.
23142123,-23142123.
219387219,-219387219.
897219837,-897219837.
2131412231,-2131412231.
